Disease Class,Disease/Phenotype,Population Type,Type Of Association,No. of Records,Latest Year of Occurence
IMMUNE,Psoriatic Arthritis,Newfoundland,Y,1,2003
METABOLIC,bone density,Jewish,Y,1,2002
PSYCH,panic disorder,Japanese,Y,1,2004
IMMUNE,Rheumatoid Arthritis,Asturias. Spain (Caucasians),Y,1,2000
INFECTION,severe malaria,West African,Y,1,1998
CARDIOVASCULAR,myocardial infarct; stroke; angina; peripheral vascular disease,Caucasian,Y,1,2005
IMMUNE,systemic sclerosis,African Americans,Y,1,2004
UNKNOWN,"cirrhosis, alcoholic; liver disease",Italian,Y,1,2004
IMMUNE,Graves' disease; Hashimoto's thyroiditis,Japanese,Y,1,2005
CANCER,Multiple familial trichoepithelioma and familial cylindromatosis,chinese,Y,1,2004
CANCER,breast cancer,individuals from the Singapore Chinese Health Study Cohort,Y,1,2003
METABOLIC,metabolism disorders,Chinese,Y,1,2003
PHARMACOGENOMIC,losartan oxidation,Turkish,Y,1,2004
REPRODUCTION,"azoospermia; oligospermia; infertility, male",Chinese,Y,1,2004
PSYCH,schizophrenia,Italian (Caucasian),Y,1,1998
PSYCH,major psychoses,Italian (Caucasian),Y,1,1999
METABOLIC,osteoarthritis,Chuvasha,Y,1,2005
METABOLIC,insulin resistance and intra-abdominal fat thickness,Japanese,Y,1,1997
IMMUNE,lupus erythematosus,Taiwanese,Y,1,2005
IMMUNE,lupus erythematosus,Vietnamese,Y,1,2003
CARDIOVASCULAR,"thromboembolism, venous",Taiwanese,Y,1,2005
PSYCH,mood disorder,Japanese,Y,1,2004
IMMUNE,chronic obstructive pulmonary disease/COPD,Icelandic,Y,1,2004
NEUROLOGICAL,Charcot-Marie-Tooth disease,Chinese,Y,1,2002
CARDIOVASCULAR,cardiovascular,Japanese,Y,1,2004
CARDIOVASCULAR,"atherosclerosis, generalized; vascular disease",Japanese,Y,1,2004
NEUROLOGICAL,Huntington's disease,Australian,Y,1,2000
METABOLIC,iron levels; soluble transferrin receptor; transferrin,Catalan,Y,1,2005
IMMUNE,Stevens-Johnson syndrome,Han Chinese,Y,1,2004
IMMUNE,Behcet's Disease,Japanese,Y,1,2003
OTHER,"pemphigoid, bullous",Japanese,Y,1,2002
IMMUNE,celiac disease,Indian,Y,1,2002
IMMUNE,Vogt-Koyanagi-Harada syndrome,Chinese,Y,1,1999
CARDIOVASCULAR,"myocardial infarct; atherosclerosis, coronary",Caucasian,Y,1,2004
OTHER,high-altitude illness,Chinese,Y,1,2005
PSYCH,major depressive disorder,Korean,Y,1,2004
METABOLIC,schizophrenia,Chinese,Y,1,2002
IMMUNE,"diabetes, type 1","white, from Europe or the USA",Y,1,2003
IMMUNE,Bronchial asthma (childhood only),Japanese,Y,1,2001
INFECTION,hepatitis C,African American,Y,1,2005
IMMUNE,Total serum IgE. atopic dermatitis,German,Y,1,2000
RENAL,nephrotic syndrome,Chinese,Y,1,2005
IMMUNE,ulcerative colitis,caucasian,Y,1,2001
IMMUNE,Asthma. FEV1,U.S. Caucasian. African American,Y,1,1999
IMMUNE,systemic lupus erythematosus,African Americans,Y,1,2002
CARDIOVASCULAR,diastolic blood pressure,Chinese,Y,1,2000
METABOLIC,"retinopathy, diabetic",Caucasian,Y,1,2003
AGING,aging,Bohemian Czechs. Baltimore Caucasians. and Baltimore African-Americans,Y,1,2002
METABOLIC,obesity,Native American,Y,1,2000
METABOLIC,coronary artery disease,Chinese,Y,1,2002
RENAL,nephropathy in other diseases; cerebrovascular disease,Japanese,Y,1,2005
CARDIOVASCULAR,carotid artery atherosclerosis,Finnish men,Y,1,2000
IMMUNE,multiple sclerosis,Polish,Y,1,2004
UNKNOWN,gastritis; intestinal metaplasia,Colombian,Y,1,2003
VISION,glaucoma,French,Y,1,2003
IMMUNE,"sulfasalazine, adverse effects of",Japanese,Y,1,2002
METABOLIC,Body Weight Regulation,German,Y,1,2000
IMMUNE,atopy,European,Y,1,2004
RENAL,nephrosis,Chinese,Y,1,2005
CANCER,"leukemia; leukemia, myelodysplastic (TRLIMDS)",Japanese,Y,1,2000
CHEMDEPENDENCY,heroin abuse,Chinese,Y,1,2001
IMMUNE,lupus erythematosus,Swedish,Y,1,2005
CARDIOVASCULAR,"cardiomyopathy, nonfamilial hypertrophic",Japanese,Y,1,2001
METABOLIC,insulin; lipids; obesity; glucose; leptin; cortisol,Swedish,Y,1,2002
CARDIOVASCULAR,cerebral infarct,Japanese,Y,1,2003
METABOLIC,LDL-cholesterol,MONICA,Y,1,2000
METABOLIC,"diabetes, type 2",Slovene,Y,1,2005
CARDIOVASCULAR,cerebral ischemia,German,Y,1,2004
IMMUNE,lupus erythematosus; rheumatoid arthritis,Spanish,Y,1,2005
CANCER,retinoblastoma,Japanese,Y,1,2004
CARDIOVASCULAR,Brugada syndrome,Korean,Y,1,2004
IMMUNE,"asthma; allergic disease, IgE mediated",Czech,Y,1,2002
NORMALVARIATION,Concentration of Surfactant Protein D,Danish,Y,1,2005
RENAL,kidney disease,Japanese,Y,1,2004
PSYCH,bipolar disorder,Chinese,Y,1,1998
PSYCH,ADHD,Caucasion,Y,1,2003
IMMUNE,chronic pancreatitis.,Dutch patients with chronic pancreatitis of various origin,Y,1,2002
IMMUNE,DRS,German,Y,1,2002
IMMUNE,psoriasis,Polish,Y,1,2004
IMMUNE,periodontitis,West European,Y,1,2001
DEVELOPMENTAL,"cleft lip with or without cleft palate; cleft palate, isolated",Danish,Y,1,2001
METABOLIC,Obesity ?????????,French Canadians,Y,1,2000
CANCER,chronic atrophic gastritis and gastric carcinoma,North Portgal,Y,1,2003
CANCER,gastric cancer,Portuguese,Y,1,1999
PSYCH,anxiety disorder; depression,Taiwanese,Y,1,2004
METABOLIC,"diabetes, type 2; obesity",French,Y,1,2000
METABOLIC,bone mass,Finnish,Y,1,1996
METABOLIC,leisure physical activity,healthy postmenopausal women,Y,1,2002
CARDIOVASCULAR,Essential Hypertension,Caucasian,Y,1,2005
METABOLIC,"diabetes, type 2; atherosclerosis, generalized",Chinese,Y,1,2004
INFECTION,HIV,Russian,Y,1,2004
OTHER,CYP2D6 poor metabolizer phenotype.,Japanese,Y,1,1996
IMMUNE,periodontitis,African American,Y,1,2002
OTHER,recurrent respiratory papillomatosis,"Caucasians, African American",Y,1,2004
VISION,"glaucoma, primary open-angle",Chinese,Y,1,2003
CANCER,lung cancer,Italian,Y,1,2000
METABOLIC,plasma homocysteine levels,Japanese,Y,1,2002
CARDIOVASCULAR,Coronary Heart Disease,German,Y,1,2002
UNKNOWN,vessel stenosis,Korean,Y,1,2005
METABOLIC,amyloidosis,Japanese,Y,1,2003
METABOLIC,hyperbilirubinemia,Japanese,Y,1,2002
OTHER,primary IgA nephropathy,Japanese,Y,1,1997
OTHER,low responsiveness to hepatitis B vaccine,Chinese,Y,1,1993
IMMUNE,asthma,Barbados,Y,1,2006
NEUROLOGICAL,Multiple sclerosis,India,Y,1,2003
METABOLIC,"cholesterol, HDL cholesterol, LDL",Caucasian;German; Swiss,Y,1,2006
CANCER,leukemia,Caucasian,Y,1,2006
IMMUNE,"asthma, aspirin-intolerant",Japanese;Caucasian,Y,1,2006
REPRODUCTION,preeclampsia,Finnish,Y,1,2006
METABOLIC,insulin triglycerides,Mexican;Mexican American,Y,1,2006
CARDIOVASCULAR,"blood pressure, arterial cholesterol insulin resistance metabolic syndrome",Caucasian,Y,1,2007
PHARMACOGENOMIC,lipids triglycerides,non-Hispanic,Y,1,2006
METABOLIC,glucose insulin,Indian;Pima Indians,Y,1,2006
CANCER,breast cancer,Icelandic,Y,1,2006
METABOLIC,bone density osteocalcin,Korean,Y,1,2006
METABOLIC,"diabetes, type 2",European,Y,1,2006
METABOLIC,"diabetes, type 2 insulin",Japanese;Caucasian,Y,1,2006
VISION,macular degeneration,Caucasian;Finnish,Y,1,2006
METABOLIC,"diabetes, type 2 insulin",Indian;Pima Indians,Y,1,2006
OTHER,Achilles tendon pathology,Caucasian,Y,1,2006
METABOLIC,aldosterone,Caucasian,Y,1,2006
NEUROLOGICAL,migraine with aura,Caucasian,Y,1,2006
PSYCH,obsessive compulsive disorder,Mexican,Y,1,2006
CARDIOVASCULAR,metabolic syndrome,Caucasian,Y,1,2006
METABOLIC,metabolic syndrome,Romania,Y,1,2007
IMMUNE,lupus erythematosus,Asian,Y,1,2006
IMMUNE,dermatitis and eczema,German,Y,1,2006
PSYCH,"anxiety disorder; depressive disorder, major; neuroticism",Caucasian,Y,1,2006
CARDIOVASCULAR,"blood pressure, arterial",Caucasian,Y,1,2006
METABOLIC,birth weight body mass,German,Y,1,2007
INFECTION,"malaria, plasmodium falciparum",Gambia,Y,1,2007
PSYCH,harm avoidance,Finnish,Y,1,2007
IMMUNE,ankylosing spondylitis,Chinese;Caucasian,Y,1,2007
CARDIOVASCULAR,C-reactive protein,Caucasian,Y,1,2007
OTHER,fracture risk,Danish,Y,1,2007
METABOLIC,osteoarthritis,Caucasian,Y,1,2007
METABOLIC,sex hormones,Caucasian,Y,1,2006
NEUROLOGICAL,essential tremor Parkinson's disease,Chinese;Caucasian,Y,1,2007
IMMUNE,lupus erythematosus,Icelandic,Y,1,2006
IMMUNE,lupus erythematosus,Korean,Y,1,2006
CARDIOVASCULAR,brain hemorrhage,Caucasian,Y,1,2006
CANCER,stomach cancer,Japanese;Chinese;Korean,Y,1,2006
IMMUNE,allergy asthma,Caucasian,Y,1,2006
METABOLIC,leanness obesity,Scandinavian,Y,1,2007
PSYCH,schizophrenia,Portuguese,Y,1,2006
PSYCH,"depressive disorder, major",Caucasian;German,Y,1,2006
IMMUNE,ankylosing spondylitis,Caucasian;Korean,Y,1,2006
CANCER,stomach cancer,Caucasian;Asian,Y,1,2006
CARDIOVASCULAR,"atherosclerosis, coronary cholesterol, HDL triglycerides",Brazilian;Caucasian,Y,1,2007
CANCER,lymphoma,Italian,Y,1,2007
CANCER,"skin cancer, non-melanoma",Italian,Y,1,2007
IMMUNE,"diabetes, type 1",Japanese;Caucasian;European;Korean,Y,1,2006
IMMUNE,rheumatoid arthritis,Norwegian,Y,1,2007
IMMUNE,asthma,Norwegian,Y,1,2007
CARDIOVASCULAR,cholesterol triglycerides,Italian,Y,1,2006
PSYCH,attention deficit hyperactivity disorder,Brazilian,Y,1,2006
CANCER,prostate cancer,Turkish,Y,1,2007
PSYCH,bipolar disorder schizophrenia,Korean,Y,1,2006
METABOLIC,"diabetes, type 2",Japanese;European,Y,1,2007
IMMUNE,sarcoidosis,Caucasian,Y,1,2006
PSYCH,psychosis schizophrenia,Caucasian;European,Y,1,2006
METABOLIC,oxidative stress,Caucasian,Y,1,2007
CANCER,stomach cancer,Greek,Y,1,2006
PHARMACOGENOMIC,warfarin sensitivity,Ashkenazi;Jewish,Y,1,2006
METABOLIC,metabolic syndrome,Non-diabetic Taiwanese,Y,1,2003
OTHER,plasma antigen levels of plasminogen activator inhibitor-1,Japanese,Y,1,2000
OTHER,PMV after CABG,400 CABG pts,Y,1,2002
CARDIOVASCULAR,myocardial ischemia,Moscow,Y,1,2003
CHEMDEPENDENCY,alcohol dependency,american Indian,Y,1,2003
METABOLIC,increased plasma leptin levels,Chinese,Y,1,1999
CARDIOVASCULAR,hypertension,Moscow,Y,1,1999
CARDIOVASCULAR,essential hypertension,Serbian,Y,1,2003
CHEMDEPENDENCY,methamphetamine abuse,Japanese,Y,1,2005
OTHER,"cirrhosis, alcoholic",Korean,Y,1,2001
OTHER,elevated serum apolipoprotein AI levels,Chinese,Y,1,1994
METABOLIC,"triglycerides; cholesterol, LDL",African American,Y,1,2004
METABOLIC,high and low levels of cholesterol,children,Y,1,2004
CARDIOVASCULAR,coronary artery disease,Japanese high risk women,Y,1,2003
NEUROLOGICAL,Alzheimer's Disease,Colombian,Y,1,2004
UNKNOWN,skin color,African American,Y,1,2005
METABOLIC,bone density; osteoporosis,Chinese,Y,1,2001
METABOLIC,"diabetes, type 2",West Africans,Y,1,2005
IMMUNE,Crohn's disease,British Caucasian,Y,1,2002
OTHER,vitiligo,Caucasian,Y,1,2002
NEUROLOGICAL,intelligence,Japanese,Y,1,2005
IMMUNE,asthma; atopy,African American,Y,1,2005
IMMUNE,Asthma,Scottish children,Y,1,1999
IMMUNE,IgE. SPT,Dutch,Y,1,2001
VISION,macular corneal dystrophy.,American,Y,1,2004
METABOLIC,bone characteristics,caucasian,Y,1,2002
RENAL,nephropathy,Indian,Y,1,2004
NORMALVARIATION,D-amphetamine response,"mixed student population from Chicago IL, USA",Y,1,2005
IMMUNE,"diabetes, type 1",Chinese in Taiwan,Y,1,2001
IMMUNE,Graves' disease,Tunisian,Y,1,2001
IMMUNE,Graves' disease,Taiwanese,Y,1,2005
INFECTION,HIV,French,Y,1,2003
CARDIOVASCULAR,Hypertension,white and black individuals London no association in Blacks,Y,1,2003
DEVELOPMENTAL,congenital adrenal hyperplasia,Spanish,Y,1,1999
CANCER,lung cancer; esophageal cancer; stomach cancer; bladder cancer,Chinese,Y,1,2004
METABOLIC,warfarin sensitivity,European,Y,1,2005
OTHER,COPD,Japanese,Y,1,2002
PSYCH,"depressive disorder, major",Chinese,Y,1,2002
IMMUNE,Total IgE. Eosinophilia. DRS,German. Swedish,Y,1,2001
OTHER,hereditary hemolytic anemia,Japanese,Y,1,1992
CARDIOVASCULAR,coronary artery calcification,American,Y,1,2004
METABOLIC,bone density,French-Canadian,Y,1,2005
METABOLIC,increased fat oxidation and hyperinsulinemia,Korean,Y,1,2001
OTHER,reduced beta-cell function,Japanese,Y,1,1996
METABOLIC,"body mass; glucose tolerance; insulin; lipids; blood pressure, arterial; heart rate; autonomic nervous system",Japanese,Y,1,2005
IMMUNE,thimerosal sensitization,Caucasians,Y,1,2000
CHEMDEPENDENCY,methamphetamine abuse; psychoses,Japanese,Y,1,2005
NEUROLOGICAL,Huntington's disease,"Japanese, North America",Y,1,2004
CARDIOVASCULAR,"blood pressure, arterial; carotid atherosclerosis",Japanese,Y,1,2004
IMMUNE,Haemophilia with Chronic synovitis,Indian,Y,1,2003
IMMUNE,lupus erythematosus,Caucasian,Y,1,2003
METABOLIC,osteoarthritis,Dutch,Y,1,2003
IMMUNE,pollen-induced allergic rhinitis,Chinese,Y,1,2004
CANCER,stomach cancer,Taiwanese,Y,1,2002
CARDIOVASCULAR,"heart disease, ischemic",Japanese,Y,1,2004
PSYCH,anorexia nervosa; bulimia nervosa,Japanese,Y,1,2001
IMMUNE,arthritis,Italian,Y,1,2000
IMMUNE,allergies; common cold,German,Y,1,2001
IMMUNE,Bronchial asthma (childhood & adult),Japanese,Y,1,2001
IMMUNE,Asthma in men,Finnish,Y,1,2002
IMMUNE,early onset periodontitis,Japanese,Y,1,2002
IMMUNE,Asthma. rhinitis,Canadian infants (mixed),Y,1,2000
CANCER,increasing risk and a poor prognosis of renal cell carcinoma,Japanese,Y,1,2002
CANCER,stomach cancer; gastric ulcer; gastritis; duodenal ulcer,Japanese,Y,1,2005
METABOLIC,triglycerides; insulin,Chinese,Y,1,2004
AGING,longevity,Ashkenazi Jews,Y,1,2005
METABOLIC,BMI,Samoans,Y,1,2002
METABOLIC,triglycerides; insulin,Japanese,Y,1,2005
CARDIOVASCULAR,Coronary Heart Disease,Han Chinese of Beijing area,Y,1,1996
OTHER,fractures,Australian,Y,1,2005
CHEMDEPENDENCY,smoking behavior,Chinese,Y,1,2005
CARDIOVASCULAR,coronary artery disease,Japanese low risk women,Y,1,2003
IMMUNE,allergies,Japanese,Y,1,2001
IMMUNE,Asthma,Northern European,Y,1,2001
VISION,"glaucoma, primary open-angle",Eastern Chinese,Y,1,2004
PSYCH,affective disorder,Japanese,Y,1,2004
METABOLIC,obesity,German,Y,1,2000
OTHER,Systemic lupus erythematosus,from North and South Carolinas,Y,1,2003
CARDIOVASCULAR,"blood pressure, arterial",Chinese,Y,1,2005
CARDIOVASCULAR,coronary artery disease,patients of Anglo-Caltic descent residing in Sydney,Y,1,2003
CHEMDEPENDENCY,naltrexone response in alcohol-dependent patients,alcohol dependent patients,Y,1,2003
IMMUNE,Asthma. atopy. spIgE.,German,Y,1,2000
CARDIOVASCULAR,Stroke,Icelandic,Y,1,2003
METABOLIC,obesity,Italian,Y,1,2001
METABOLIC,carotid artery damage,Chinese,Y,1,2003
CARDIOVASCULAR,cardiovascular,caucasian type 2 diabetics,Y,1,2004
IMMUNE,multiple sclerosis,Finnish,Y,1,2006
OTHER,abnormal splicing,African,Y,1,2002
CANCER,"thyroid cancer; thyroid carcinoma, sporadic medullary",German,Y,1,2001
CANCER,,Japanese,Y,1,2003
CARDIOVASCULAR,hypertension,South African,Y,1,2003
CARDIOVASCULAR,myocardial infarct; cerebrovascular infart,Chinese,Y,1,2003
IMMUNE,X-linked lymphoproliferative disease,Japanese,Y,1,2001
METABOLIC,hyperuricemia; uric acid,German,Y,1,2005
PSYCH,autism,German,Y,1,1997
NEUROLOGICAL,familial amyotrophic lateral sclerosis,Japanese,Y,1,1996
CANCER,"pancreatic cancer; pancreatitis, chronic",Finnish,Y,1,2005
IMMUNE,Allergic diseases (bronchial asthma. atopic dermatitis and/or food-related anaphylaxis),Japanese,Y,1,2001
IMMUNE,lupus erythematosus,Colombian,Y,1,2003
OTHER,prevalent vertebral fractures,Japanese,Y,1,2000
PSYCH,mood disorder.,Italian (Caucasian),Y,1,1998
OTHER,lipopolysaccharide hyporesponsiveness,Japanese,Y,1,2002
IMMUNE,Crohn's disease; ulcerative colitis,Korean,Y,1,2003
OTHER,keloid,Chinese,Y,1,2005
PSYCH,suicide,Caucasian,Y,1,2003
NEUROLOGICAL,Parkinson's disease,global,Y,1,2004
METABOLIC,body fat,European,Y,1,2000
NORMALVARIATION,birth height growth to adolescence and adult stature,caucasian,Y,1,2000
METABOLIC,bone mineral density,Korean,Y,1,2000
REPRODUCTION,"pregnancy loss, recurrent",Irish,Y,1,2001
METABOLIC,"bone density; spondylosis, lumbar",Japanese,Y,1,2001
METABOLIC,lipid metabolism disorders; metabolic syndrome,Indian,Y,1,2004
PSYCH,schizophrenia,Ashkenazi Jewish ethnic origin,Y,1,2002
PHARMACOGENOMIC,loratadine pharmacokinetics,Chinese,Y,1,2005
CANCER,cervical cancer,Korean,Y,1,2003
UNKNOWN,"renal disease, end stage",Mexican,Y,1,2000
AGING,bone resorption,healthy postmenopausal women,Y,1,2003
METABOLIC,body mass; leptin; fat mass,Caucasian,Y,1,2001
OTHER,mild hyperhomocysteinaemia,South African,Y,1,2002
CARDIOVASCULAR,Coronary Artery Disease,Taiwanese,Y,1,2001
CARDIOVASCULAR,myocardial infarction,Turkish,Y,1,2002
OTHER,erectile dysfunction,Mexican,Y,1,2004
METABOLIC,amyloidosis; Familial Mediterranean Fever,Turkish,Y,1,2004
METABOLIC,bilirubin; irinotecan pharmacogenetics,Japanese,Y,1,2004
OTHER,diffuse panbronchiolitis,Korean,Y,1,1999
METABOLIC,lipids,Japanese,Y,1,2001
AGING,cognitive decline,"Memphis, Tennessee, and Pittsburgh, Pennsylvania,",Y,1,2006
INFECTION,AIDS,Indian,Y,1,2003
NEUROLOGICAL,Alzheimer's disease,Japanese;Caucasian;European,Y,1,2006
PHARMACOGENOMIC,fentanyl effects,Korean,Y,1,2006
CARDIOVASCULAR,"blood pressure, arterial intima-media thickness",Caucasian,Y,1,2006
METABOLIC,adiponectin glucose insulin lipids,Korean,Y,1,2006
CARDIOVASCULAR,myocardial infarct,Japanese;Korean,Y,1,2007
CARDIOVASCULAR,"cholesterol, HDL triglycerides",Brazilian;European,Y,1,2007
CANCER,"breast cancer breast cancer, male colorectal cancer ovarian cancer prostate cancer",Norwegian,Y,1,2006
DEVELOPMENTAL,neural tube defects,Caucasian,Y,1,2006
METABOLIC,polycystic ovary syndrome,German,Y,1,2006
IMMUNE,autoimmune thyroiditis Graves' disease Hashimoto's thyroiditis,Japanese;Caucasian;Korean,Y,1,2006
VISION,macular degeneration,Indian,Y,1,2006
AGING,"disc degeneration, lumbar spine",Japanese;Finnish,Y,1,2006
IMMUNE,Sjogren's syndrome,Australian;Caucasian,Y,1,2006
CARDIOVASCULAR,"blood pressure, arterial cholesterol",Belgian;European;Italian,Y,1,2006
METABOLIC,hyperandrogenism,Israeli,Y,1,2006
NORMALVARIATION,Dopamine beta-Hydroxylase Activity,European,Y,1,2007
DEVELOPMENTAL,neural tube defects,Irish,Y,1,2007
PHARMACOGENOMIC,attention deficit hyperactivity disorder,Korean,Y,1,2006
IMMUNE,vitiligo,Korean,Y,1,2007
CANCER,colorectal cancer hyperplastic polyposis,Finnish,Y,1,2006
IMMUNE,inflammation,Chinese;Canadian;CaucIndian,Y,1,2006
METABOLIC,"body mass glucose tolerance glycemia obesity, localized",Danish,Y,1,2007
CARDIOVASCULAR,"atherosclerosis, coronary myocardial infarct",Caucasian;Finnish,Y,1,2007
NEUROLOGICAL,cluster headache,German,Y,1,2006
IMMUNE,celiac disease,Finnish,Y,1,2006
NEUROLOGICAL,Alzheimer's disease cognitive function,Italian,Y,1,2007
METABOLIC,adrogen body mass insulin polycystic ovary syndrome,Caucasian,Y,1,2006
PHARMACOGENOMIC,"weight gain, antipsychotic-induced",Caucasian,Y,1,2007
PHARMACOGENOMIC,tuberculosis,Caucasian;Turkish,Y,1,2007
IMMUNE,allergic rhinitis,Korean,Y,1,2006
IMMUNE,lupus erythematosus,European;Indian;Mexican,Y,1,2007
CARDIOVASCULAR,"stroke, ischemic",Sardinian,Y,1,2007
METABOLIC,bone density,Japanese;Caucasian,Y,1,2007
INFECTION,malaria,Caucasian,Y,1,2006
DEVELOPMENTAL,cleft lip with cleft palate cleft lip without cleft palate,Thai;Vietnamese,Y,1,2006
CARDIOVASCULAR,"atherosclerosis, coronary",Caucasian;Korean,Y,1,2006
METABOLIC,"diabetes, type 2 ghrelin insulin",European,Y,1,2007
CANCER,bladder cancer,Turkish,Y,1,2006
IMMUNE,rheumatoid arthritis,Japanese;European,Y,1,2006
IMMUNE,lupus erythematosus,Spanish;Swedish;European;Mexican,Y,1,2007
CARDIOVASCULAR,cardiovascular disease,Korean,Y,1,2006
METABOLIC,"cholesterol cholesterol, HDL cholesterol, LDL",Caucasian,Y,1,2006
METABOLIC,bone density height,Caucasian,Y,1,2006
IMMUNE,rheumatoid arthritis,Caucasian,Y,1,2006
IMMUNE,asthma rheumatoid arthritis,European;Polish,Y,1,2007
VISION,"retinoschisis, x-linked",Indian,Y,1,2007
REPRODUCTION,premature rupture of membranes,African American;European,Y,1,2006
PSYCH,"depression depressive disorder, major",Caucasian,Y,1,2006
PHARMACOGENOMIC,"cholesterol cholesterol, HDL cholesterol, LDL triglycerides",Asian,Y,1,2007
NEUROLOGICAL,Alzheimer's disease,African American;Hispanic ;European;non-Hispanic,Y,1,2007
PSYCH,schizophrenia,European;Irish,Y,1,2007
METABOLIC,"diabetes, type 2",Caucasian;Mexican;Mexican American,Y,1,2007
IMMUNE,periodontitis,Caucasian;European,Y,1,2007
PSYCH,bulimia harm avoidance personality traits,Caucasian,Y,1,2007
PHARMACOGENOMIC,bilirubin,Caucasian;Thai,Y,1,2006
METABOLIC,"diabetes, type 2 retinopathy, diabetic",Brazilian;European,Y,1,2007
PHARMACOGENOMIC,warfarin sensitivity,Caucasian;Korean;Asian,Y,1,2007
OTHER,Late-onset Stargardt disease,late-onset STGDI patients (onset: > or =35 years),Y,1,2001
METABOLIC,metabolic syndrome,Taiwanes and Japanese Hypertensive Family,Y,1,2003
CARDIOVASCULAR,hypertension,Sikh,Y,1,1997
IMMUNE,Systemic Lupus Erythematosus (SLE),Korean,Y,1,2002
IMMUNE,allergic rhinitis,Japanese,Y,1,2004
INFECTION,Parasitic infection,Australian aborigines,Y,1,1999
METABOLIC,Body Mass Index,Japanese,Y,1,2001
RENAL,diabetic retinopathy.,Caucasian,Y,1,2001
OTHER,immunoglobin A nephropathy,caucasian,Y,1,1997
METABOLIC,"anthropometric and metabolic traits, relative to cardiovascular risk",Caucasian: British,Y,1,2005
CARDIOVASCULAR,aging,European Americans divided into young (18-39 years) and old (>60 years) groups.,Y,1,2003
CHEMDEPENDENCY,alcohol abuse; smoking behavior,Indian,Y,1,2004
METABOLIC,plasma high density lipoprotein cholesterol and apolipoprotein AI,Chinese,Y,1,2002
METABOLIC,triglycerides,Japanese,Y,1,2002
AGING,obesity,older Causcasian adults,Y,1,2003
METABOLIC,Wilson disease,Chinese,Y,1,2003
OTHER,cerebellar ataxia,Japanese,Y,1,1997
METABOLIC,"diabetes, type 2; nephropathy, diabetic",Polish,Y,1,2002
IMMUNE,asthma; allergies,German,Y,1,2003
UNKNOWN,blood catalase levels,Swedish,Y,1,2001
IMMUNE,Asthma. asthma severity,Hungarian,Y,1,2001
IMMUNE,Septic Shock,Caucasian,Y,1,2002
METABOLIC,"body mass; cholesterol; cholesterol, HDL; triglycerides; blood pressure; insulin resistance",Japanese,Y,1,2001
IMMUNE,psoriasis,Jewish,Y,1,2005
VISION,"macular degeneration, age-related",French,Y,1,2005
OTHER,hypercalciuric nephrocalcinosis,Japanese,Y,1,1997
PSYCH,major depression,swedish,Y,1,2003
IMMUNE,Graves' disease,Chinese,Y,1,2002
IMMUNE,Graves' disease,Italian,Y,1,2005
INFECTION,HIV,African,Y,1,2005
CANCER,oral cancer,Chinese,Y,1,2005
METABOLIC,"osteoporosis, postmenopausal",Spanish (Caucasian),Y,1,2005
IMMUNE,"diabetes, type 1; Addison's disease; Graves' disease; thyroiditis, chronic lymphocytic",German,Y,1,2004
PHARMACOGENOMIC,lasoprazole pharmacokinetics,Chinese,Y,1,2004
PHARMACOGENOMIC,irbesartan phamacokinetics,Chinese,Y,1,2005
METABOLIC,"body mass; cholesterol, HDL; blood pressure",Turkish,Y,1,2002
PSYCH,schizophrenia,French,Y,1,2001
IMMUNE,Asthma,German. Swedish,Y,1,2001
CANCER,colorectal polyps (adenoma or hyperplastic),"case-control study (colonoscopy-screened, clinic-based)",Y,1,2001
CARDIOVASCULAR,"atherosclerosis, coronary",African American,Y,1,2004
CARDIOVASCULAR,"atherosclerosis, coronary",Spanish,Y,1,2004
HEMATOLOGICAL,factor VII levels,Tunisian,Y,1,2004
METABOLIC,hyperinsulinemia; fat oxidation; intestinal fatty acid absorption,Korean,Y,1,2001
OTHER,scleroderma,Japanese,Y,1,2002
IMMUNE,systemic lupus erythematosus,Hispanic,Y,1,2001
CARDIOVASCULAR,stroke; fibrinogen,Chinese,Y,1,2000
CHEMDEPENDENCY,alcoholism,Russian,Y,1,2005
METABOLIC,insulin resistance,Indian,Y,1,2000
CARDIOVASCULAR,hypertension and obesity,white subjects of middle eastern (Austrian) origin,Y,1,2003
CARDIOVASCULAR,"blood pressure, arterial",Korean,Y,1,2005
CANCER,oral cancer,Indian,Y,1,2002
CANCER,Bladder Cancer,Korean,Y,1,2000
NEUROLOGICAL,Huntington's disease,Spanish,Y,1,2005
VISION,"diabetes, type 2; retinopathy, diabetic",Japanese,Y,1,2005
CARDIOVASCULAR,hypertrophic cardiomyopathy,India,Y,1,2004
IMMUNE,psoriasis,Korean,Y,1,2003
OTHER,"pemphigoid, mucous membrane",Italian,Y,1,2001
METABOLIC,glutamic acid decarboxylase antibodies,Caucasian,Y,1,2003
IMMUNE,Asthma,U.S. Caucasian,Y,1,2000
NORMALVARIATION,abacavir hypersensitivity,Australian,Y,1,2004
PSYCH,bipolar disorder,Korean,Y,1,2001
PSYCH,"depression, psychosis and antipsychotic response",British caucasian,Y,1,2000
INFECTION,Cerebral Malaria,African,Y,1,2002
IMMUNE,eosinophilia,German. Swedish,Y,1,2001
IMMUNE,asthma (childhood),Caucasoid,Y,1,2002
IMMUNE,serum IgE levels,German,Y,1,2003
IMMUNE,allergic rhinitis,oldest child in white families,Y,1,2003
CANCER,hepatocellular carcinoma,Japanese,Y,1,2003
